journal	abbreviation	impact_factor
Cosmopolitan Civil Societies-An Interdisciplinary Journal	COSMOP CIV SOC	0.7
Cosmos and History-The Journal of Natural and Social Philosophy	COSM HIST	0.2
Cost Effectiveness and Resource Allocation	COST EFFECT RESOUR A	3.1
Costume-The Journal of the Costume Society	COSTUME	0.3
Counseling and Values	COUNS VALUES	0.8
COUNSELING PSYCHOLOGIST	COUNS PSYCHOL	2.7
Counselling & Psychotherapy Research	COUNS PSYCHOTHER RES	1.5
Counselling Psychology Quarterly	COUNS PSYCHOL Q	1.5
COUNSELOR EDUCATION AND SUPERVISION	COUNS EDUC SUPERV	1.6
CounterText-A Journal for the Study of the Post-Literary	COUNTERTEXT	0.2
Couple and Family Psychology-Research and Practice	COUPLE FAM PSYCHOL	0.8
Coupled Systems Mechanics	COUPLED SYST MEC	2
COVID	COVID-BASEL	0.9
CPT-Pharmacometrics & Systems Pharmacology	CPT-PHARMACOMET SYST	2.8
Craft Research	CRAFT RES	0.3
CRANIO-The Journal of Craniomandibular & Sleep Practice	CRANIO	5.4
Craniomaxillofacial Trauma & Reconstruction	CRANIOMAX TRAUM REC	1
Creative Industries Journal	CREATIVE IND J	0.8
Creative Nursing	CREAT NURS	2.5
Creativity and Innovation Management	CREAT INNOV MANAG	3.9
CREATIVITY RESEARCH JOURNAL	CREATIVITY RES J	4.8
Crescent Journal of Medical and Biological Sciences	CRESCENT J MED BIOL	0.6
CRETACEOUS RESEARCH	CRETACEOUS RES	1.8
CRIME & DELINQUENCY	CRIME DELINQUENCY	1.5
Crime and Justice-A Review of Research	CRIME JUSTICE	4.7
CRIME LAW AND SOCIAL CHANGE	CRIME LAW SOCIAL CH	1.6
Crime Media Culture	CRIME MEDIA CULT	1.9
Crime Prevention & Community Safety	CRIME PREV COMMUNITY	1.3
Crime Science	CRIME SCI	2.2
Criminal Behaviour and Mental Health	CRIM BEHAV MENT HEAL	1.9
CRIMINAL JUSTICE AND BEHAVIOR	CRIM JUSTICE BEHAV	2
CRIMINAL JUSTICE STUDIES	CRIM JUSTICE STUD	1.4
Criminal Law and Philosophy	CRIM LAW PHILOS	0.6
Criminal Law Forum	CRIM LAW FORUM	0.8
Criminologie	CRIMINOLOGIE	0.3
CRIMINOLOGY	CRIMINOLOGY	5.2
Criminology & Criminal Justice	CRIMINOL CRIM JUSTIC	1.6
Criminology & Public Policy	CRIMINOL PUBLIC POL	3.8
Crisis-The Journal of Crisis Intervention and Suicide Prevention	CRISIS	3
CRISPR Journal	CRISPR J	3.6
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA	CRITICA	0.4
Critical African Studies	CRIT AFR STUD	0.9
Critical and Radical Social Work	CRIT RADIC SOC WORK	0.8
Critical Arts-South-North Cultural and Media Studies	CRIT ARTS	0.4
CRITICAL ASIAN STUDIES	CRIT ASIAN STUD	2.2
CRITICAL CARE	CRIT CARE	11.4
Critical Care and Resuscitation	CRIT CARE RESUSC	3.2
CRITICAL CARE CLINICS	CRIT CARE CLIN	3
Critical Care Explorations	CRIT CARE EXPLOR	2.9
CRITICAL CARE MEDICINE	CRIT CARE MED	7.5
Critical Care Nurse	CRIT CARE NURSE	2.3
Critical Care Nursing Clinics of North America	CRIT CARE NURS CLIN	1.2
Critical Care Nursing Quarterly	CRIT CARE NURS Q	1.2
Critical Care Research and Practice	CRIT CARE RES PRACT	1.6
Critical Criminology	CRIT CRIMINOL-NETH	1.3
Critical Discourse Studies	CRIT DISCOURSE STUD	2.9
Critical Education	CRIT EDUC	0.6
Critical Finance Review	CRIT FINANC REV	1.1
Critical Historical Studies	CRIT HIST STUD	1
Critical Horizons	CRIT HORIZ	0.8
CRITICAL INQUIRY	CRIT INQUIRY	1.2
Critical Military Studies	CRIT MIL STUD	2.5
Critical Perspectives on Accounting	CRIT PERSPECT ACCOUN	4.4
Critical Perspectives on International Business	CRIT PERSPECT INT BU	2.4
Critical Philosophy of Race	CRIT PHILOS RACE	1.3
Critical Policy Studies	CRIT POLICY STUD	3.7
Critical Public Health	CRIT PUBLIC HEALTH	2.6
CRITICAL QUARTERLY	CRIT QUART	0.1
Critical Research on Religion	CRIT RES RELIG	0.3
CRITICAL REVIEW	CRIT REV	1.7
Critical Review of International Social and Political Philosophy	CRIT REV INT SOC POL	0.6
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY	CRIT REV ANAL CHEM	7.7
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	CRIT REV BIOCHEM MOL	8.7
CRITICAL REVIEWS IN BIOTECHNOLOGY	CRIT REV BIOTECHNOL	8.7
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES	CRIT REV CL LAB SCI	6.2
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	CRIT REV ENV SCI TEC	12.5
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION	CRIT REV EUKAR GENE	1.5
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION	CRIT REV FOOD SCI	10.6
CRITICAL REVIEWS IN IMMUNOLOGY	CRIT REV IMMUNOL	1.8
CRITICAL REVIEWS IN MICROBIOLOGY	CRIT REV MICROBIOL	7
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY	CRIT REV ONCOL HEMAT	6.2
CRITICAL REVIEWS IN PLANT SCIENCES	CRIT REV PLANT SCI	7.5
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES	CRIT REV SOLID STATE	12.7
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS	CRIT REV THER DRUG	2.5
CRITICAL REVIEWS IN TOXICOLOGY	CRIT REV TOXICOL	5.6
CRITICAL SOCIAL POLICY	CRIT SOC POLICY	1.8
Critical Sociology	CRIT SOCIOL	2
Critical Studies in Education	CRIT STUD EDUC	2.9
Critical Studies in Fashion & Beauty	CRIT STUD FASH BEAUT	0.4
CRITICAL STUDIES IN MEDIA COMMUNICATION	CRIT STUD MEDIA COMM	0.9
Critical Studies in Mens Fashion	CRIT STUD MENS FASH	0.1
Critical Studies in Television	CRIT STUD TELEV	0.9
Critical Studies on Security	CRIT STUD SECUR	1.9
Critical Studies on Terrorism	CRIT STUD TERROR	1.5
Critical Survey	CRIT SURV	0.2
CRITIQUE	CRITIQUE	0.2
CRITIQUE OF ANTHROPOLOGY	CRIT ANTHROPOL	1.1
CRITIQUE-STUDIES IN CONTEMPORARY FICTION	CRITIQUE-ST CONTEMP	0.3
Croatian and Comparative Public Administration	CROAT COMP PUBLIC AD	0.2
Croatian Economic Survey	CROAT ECON SURV	0.3
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje	CROAT J EDUC	0.3
Croatian Journal of Forest Engineering	CROAT J FOR ENG	2.3
Croatian Journal of Philosophy	CROAT J PHILOS	0.3
CROATIAN MEDICAL JOURNAL	CROAT MED J	2.1
Croatian Operational Research Review	CROAT OPER RES REV	1
Croatian Yearbook of European Law & Policy	CROAT YEARB EUR LAW	0.5
CROATICA CHEMICA ACTA	CROAT CHEM ACTA	0.9
Crohns & Colitis 360	CROHNS COLITIS 360	3
Crop & Pasture Science	CROP PASTURE SCI	1.8
Crop and Environment	CROP ENVIRON	8.6
Crop Breeding and Applied Biotechnology	CROP BREED APPL BIOT	1.3
Crop Design	CROP DES	5.2
Crop Forage & Turfgrass Management	CROP FORAGE TURF MAN	1
Crop Journal	CROP J	6.7
Crop Protection	CROP PROT	3.3
CROP SCIENCE	CROP SCI	2.4
Crops	CROPS-BASEL	2.1
Cross Cultural & Strategic Management	CROSS CULT STRATEG M	2.4
Cross Currents	CROSS CURR	0.1
CROSS-CULTURAL RESEARCH	CROSS-CULT RES	1.7
CRUSTACEANA	CRUSTACEANA	0.6
CRYOBIOLOGY	CRYOBIOLOGY	2.6
CRYOGENICS	CRYOGENICS	2.5
CRYOLETTERS	CRYOLETTERS	1
Cryosphere	CRYOSPHERE	4.9
CRYPTOGAMIE ALGOLOGIE	CRYPTOGAMIE ALGOL	2.3
CRYPTOGAMIE BRYOLOGIE	CRYPTOGAMIE BRYOL	0.7
CRYPTOGAMIE MYCOLOGIE	CRYPTOGAMIE MYCOL	1.2
Cryptography	CRYPTOGRAPHY-BASEL	2.4
Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences	CRYPTOGR COMMUN	1.3
CRYPTOLOGIA	CRYPTOLOGIA	0.3
CRYSTAL GROWTH & DESIGN	CRYST GROWTH DES	3.6
CRYSTAL RESEARCH AND TECHNOLOGY	CRYST RES TECHNOL	2.1
CRYSTALLOGRAPHY REPORTS	CRYSTALLOGR REP+	0.5
Crystallography Reviews	CRYSTALLOGR REV	2.8
Crystals	CRYSTALS	2.9
CRYSTENGCOMM	CRYSTENGCOMM	2.4
CSEE Journal of Power and Energy Systems	CSEE J POWER ENERGY	5.6
CSIAM Transactions on Applied Mathematics	CSIAM T APPL MATH	1.1
CT&F-Ciencia Tecnologia y Futuro	CT F-CIENC TECN FUT	0.4
CTAD-Cumhuriyet Tarihi Arastirmalari Dergisi	CTAD-CUMHUR TARIHI A	0.1
CTS-Clinical and Translational Science	CTS-CLIN TRANSL SCI	4.3
Cuaderno Activa	CUAD ACT	0.1
Cuadernos de Administracion-Universidad del Valle	CUAD ADM-U VALLE	0.2
Cuadernos de Antropologia	CUAD ANTROPOL	0.1
Cuadernos de Bioetica	CUAD BIOET	0.2
Cuadernos de Desarrollo Rural	CUAD DESARRO RURAL	0.5
Cuadernos de Documentacion Multimedia	CUAD DOC MULTIMED	0.2
Cuadernos de Economia	CUAD ECON-BOGOTA	0.4
Cuadernos de Estudios Gallegos	CUAD ESTUD GALLEGOS	0.1
Cuadernos de Filologia Clasica-Estudios Griegos e Indoeuropeos	CUAD FILOL CLASICA-E	0.1
Cuadernos de Filologia Clasica-Estudios Latinos	CUAD FILOL CLASIC-ES	0.1
Cuadernos de Filologia Italiana	CUAD FILOL ITAL	0.2
Cuadernos de Filosofia Latinoamericana	CUAD FILOS LATINOAM	0.1
Cuadernos de Gestion	CUAD GEST	2.5
Cuadernos de Historia Contemporanea	CUAD HIST CONTEMP	0.3
Cuadernos de Historia Moderna	CUAD HIST MOD	0.3
Cuadernos de Ilustracion y Romanticismo	CUAD ILUS ROMANT	0.2
Cuadernos de Investigacion Geografica	CUAD INVESTIG GEOGR	1.6
Cuadernos de Linguistica Hispanica	CUAD LINGUIST HISP	0.3
Cuadernos de Literatura	CUAD LIT	0.1
Cuadernos de Musica Artes Visuales y Artes Escenicas	CUAD MUSIC ARTES ESC	0.1
Cuadernos de Neuropsicologia-Panamerican Journal of Neuropsychology	CUAD NEUROPSICOL	0.3
Cuadernos de Prehistoria y Arqueologia-Universidad Autonoma de Madrid	CUAD PREHIST ARQUEOL	1.1
Cuadernos de Relaciones Laborales	CUAD RELAC LABOR	0.7
Cuadernos de Rusistica Espanola	CUAD RUS ESP	0.2
Cuadernos de Trabajo Social	CUAD TRAB SOC	0.5
Cuadernos de Turismo	CUAD TUR	0.9
Cuadernos del CIMBAGE	CUAD CIMBAGE	0.1
Cuadernos del CLAEH-Centro Latinoamericano de Economia Humana	CUAD CLAEH	0.1
Cuadernos Dieciochistas	CUAD DIECIOCH	0.2
Cuadernos Electronicos de Filosofia del Derecho	CUAD ELECTRON FILOS	0.2
Cuadernos Europeos de Deusto	CUAD EUR DEUSTO	0.5
Cuadernos Geograficos	CUAD GEOGR	0.6
CUADERNOS HISPANOAMERICANOS	CUADERNOS HISPANOAM	0.1
Cuadernos Info	CUAD INFO-SANTIAGO	0.5
Cuadernos Inter c a mbio sobre Centroamerica y el Caribe	CUAD INTER C A MBIO	0.3
CUAJ-Canadian Urological Association Journal	CUAJ-CAN UROL ASSOC	2
Cuaternario y Geomorfologia	CUATERN GEOMORFOL	0.6
CUBO-A Mathematical Journal	CUBO	0.6
Cuestiones de Filosofia	CUEST FILOS	0.2
Cuestiones de Sociologia	CUEST SOCIOL	0.5
CUHSO	CUHSO	0.2
Cukurova Medical Journal	CUKUROVA MED J	0.3
Cukurova University Faculty of Education Journal	CUKUROVA UNIV FAC ED	0.9
Cultura Ciencia y Deporte	CULT CIENC DEPORTE	0.5
Cultura Cientifica	CULT CIENT	0.2
Cultura de los Cuidados	CULT CUID	0.1
Cultura Lenguaje y Representacion-Revista de Estudios Culturales de la Universitat Jaume I	CULT LENG REPRESENT	0.3
Cultura y Droga	CULT DROGA	0.1
Cultura y Religion	CULT RELIG-CHILE	0.2
Cultural & Social History	CULT SOC HIST	0.4
CULTURAL ANTHROPOLOGY	CULT ANTHROPOL	1.6
CULTURAL CRITIQUE	CULT CRIT	0.3
Cultural Diversity & Ethnic Minority Psychology	CULT DIVERS ETHN MIN	2.4
CULTURAL DYNAMICS	CULT DYN	0.5
CULTURAL GEOGRAPHIES	CULT GEOGR	1.2
Cultural History	CULT HIST	0.5
Cultural Sociology	CULT SOCIOL-LONDON	1.5
CULTURAL STUDIES	CULT STUD	1.3
Cultural Studies of Science Education	CULT STUD SCI EDUCAT	1.9
Cultural Studies-Critical Methodologies	CULT STUD-CRIT METHO	0.6
Cultural Trends	CULT TRENDS	1.4
Culturales	CULTURALES	0.1
Culture & History Digital Journal	CULT HIST DIGIT J	0.4
CULTURE & PSYCHOLOGY	CULT PSYCHOL	1.4
Culture Agriculture Food and Environment	CULT AGRIC FOOD ENVI	0.9
Culture and Dialogue	CULT DIALOGUE	0.1
Culture and Education	CULT EDUC-UK	0.7
Culture and Organization	CULT ORGAN	1.3
Culture and Religion	CULT RELIG-ABINGDON	0.3
Culture et Musees	CULT MUS	0.2
CULTURE HEALTH & SEXUALITY	CULT HEALTH SEX	1.6
CULTURE MEDICINE AND PSYCHIATRY	CULT MED PSYCHIAT	1.9
Culture Theory and Critique	CULT THEORY CRIT	0.5
Cumhuriyet Ilahiyat Dergisi-Cumhuriyet Theology Journal	CUMHUR ILAH DERG	0.2
Curator-The Museum Journal	CURATOR	0.8
Current Addiction Reports	CURR ADDICT REP	4.2
Current Allergy & Clinical Immunology	CURR ALLERGY CLIN IM	0.3
CURRENT ALLERGY AND ASTHMA REPORTS	CURR ALLERGY ASTHM R	6.3
Current Alzheimer Research	CURR ALZHEIMER RES	2.4
Current Analytical Chemistry	CURR ANAL CHEM	1.3
Current Anesthesiology Reports	CURR ANESTHESIOL REP	0.9
CURRENT ANTHROPOLOGY	CURR ANTHROPOL	2
CURRENT APPLIED PHYSICS	CURR APPL PHYS	2.8
Current Atherosclerosis Reports	CURR ATHEROSCLER REP	6.6
Current Behavioral Neuroscience Reports	CURR BEHAV NEUROSCI	1.6
Current Bioinformatics	CURR BIOINFORM	1.8
CURRENT BIOLOGY	CURR BIOL	7.7
Current Bladder Dysfunction Reports	CURR BLADDER DYSFUNC	0.7
Current Breast Cancer Reports	CURR BREAST CANCER R	1
CURRENT CANCER DRUG TARGETS	CURR CANCER DRUG TAR	2.5
Current Cancer Therapy Reviews	CURR CANCER THER REV	0.8
Current Cardiology Reports	CURR CARDIOL REP	4
CURRENT CARDIOLOGY REVIEWS	CURR CARDIOL REV	2.4
Current Cardiovascular Imaging Reports	CURR CARDIOVASC IMAG	0.6
Current Cardiovascular Risk Reports	CURR CARDIOVASC RISK	2
Current Challenges in Thoracic Surgery	CURR CHALL THORACIC	0.7
Current Climate Change Reports	CURR CLIM CHANGE REP	12.3
Current Clinical Microbiology Reports	CURR CLIN MICROBIOL	4.6
Current Computer-Aided Drug Design	CURR COMPUT-AID DRUG	1.5
Current Dermatology Reports	CURR DERMATOL REP	1.4
Current Developmental Disorders Reports	CURR DEV DISORD REP	2.9
Current Developments in Nutrition	CURR DEV NUTR	4.2
Current Diabetes Reports	CURR DIABETES REP	7.2
CURRENT DIABETES REVIEWS	CURR DIABETES REV	2.6
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE	CURR DIR PSYCHOL SCI	5.6
Current Drug Delivery	CURR DRUG DELIV	3.1
CURRENT DRUG METABOLISM	CURR DRUG METAB	2.3
Current Drug Safety	CURR DRUG SAF	1.2
CURRENT DRUG TARGETS	CURR DRUG TARGETS	3.5
Current Drug Therapy	CURR DRUG THER	0.7
Current Emergency and Hospital Medicine Reports	CURR EMERG HOSP ME R	0.8
Current Environmental Health Reports	CURR ENV HLTH REP	7.9
Current Epidemiology Reports	CURR EPIDEMIOL REP	3.8
CURRENT EYE RESEARCH	CURR EYE RES	1.7
Current Forestry Reports	CURR FOR REP	11.6
Current Fungal Infection Reports	CURR FUNGAL INFECT R	3.9
CURRENT GASTROENTEROLOGY REPORTS	CURR GASTROENTEROL R	4.1
CURRENT GENE THERAPY	CURR GENE THER	4.1
Current Genetic Medicine Reports	CURR GENET MED REP	1
CURRENT GENETICS	CURR GENET	1.9
CURRENT GENOMICS	CURR GENOMICS	4
Current Geriatrics Reports	CURR GERIATR REP	1.7
Current Green Chemistry	CURR GREEN CHEM	1.9
Current Heart Failure Reports	CURR HEART FAIL REP	3.7
Current Hematologic Malignancy Reports	CURR HEMATOL MALIG R	4
Current Hepatology Reports	CURR HEPATOL REP	1.4
CURRENT HERPETOLOGY	CURR HERPETOL	1
CURRENT HISTORY	CURR HIST	3.5
CURRENT HIV RESEARCH	CURR HIV RES	0.8
Current HIV/AIDS Reports	CURR HIV-AIDS REP	4.4
CURRENT HYPERTENSION REPORTS	CURR HYPERTENS REP	6.3
Current Hypertension Reviews	CURR HYPERTENS REV	1.1
Current Infectious Disease Reports	CURR INFECT DIS REP	2.4
Current Issues in Auditing	CURR ISS AUDIT	0.7
Current Issues in Criminal Justice	CURR ISS CRIM JUSTIC	1.9
Current Issues in Language Planning	CURR ISS LANG PLAN	1.9
CURRENT ISSUES IN MOLECULAR BIOLOGY	CURR ISSUES MOL BIOL	4.1
Current Issues in Personality Psychology	CURR ISS PERSONAL PS	1
Current Issues in Pharmacy and Medical Sciences	CURR ISS PHARM MED S	0.7
Current Issues in Tourism	CURR ISSUES TOUR	5
Current Journal of Neurology	CURR J NEUROL	0.9
Current Legal Problems	CURR LEGAL PROBL	2.1
Current Medical Imaging	CURR MED IMAGING	1.1
CURRENT MEDICAL RESEARCH AND OPINION	CURR MED RES OPIN	2.8
Current Medical Science	CURR MED SCI	2
CURRENT MEDICINAL CHEMISTRY	CURR MED CHEM	3.2
Current Medicine Research and Practice	CURR MED RES PRACT	0.4
CURRENT MICROBIOLOGY	CURR MICROBIOL	2.8
Current Microwave Chemistry	CURR MICROWAV CHEM	2.2
CURRENT MOLECULAR MEDICINE	CURR MOL MED	2.8
Current Molecular Pharmacology	CURR MOL PHARMACOL	7.2
Current Nanoscience	CURR NANOSCI	1.9
Current Neurology and Neuroscience Reports	CURR NEUROL NEUROSCI	7.4
Current Neuropharmacology	CURR NEUROPHARMACOL	6.1
CURRENT NEUROVASCULAR RESEARCH	CURR NEUROVASC RES	1.7
Current Nutrition & Food Science	CURR NUTR FOOD SCI	1.4
Current Nutrition Reports	CURR NUTR REP	8
Current Obesity Reports	CURR OBES REP	17
Current Obstetrics and Gynecology Reports	CURR OBSTET GYNECOL	1.7
Current Oncology	CURR ONCOL	3.6
Current Oncology Reports	CURR ONCOL REP	5.2
Current Ophthalmology Reports	CURR OPHTHALMOL REP	1.5
Current Opinion in Allergy and Clinical Immunology	CURR OPIN ALLERGY CL	2.8
Current Opinion in Anesthesiology	CURR OPIN ANESTHESIO	2.8
Current Opinion in Behavioral Sciences	CURR OPIN BEHAV SCI	4.4
Current Opinion in Biomedical Engineering	CURR OPIN BIOMED ENG	3.8
CURRENT OPINION IN BIOTECHNOLOGY	CURR OPIN BIOTECH	7.8
CURRENT OPINION IN CARDIOLOGY	CURR OPIN CARDIOL	1.9
CURRENT OPINION IN CELL BIOLOGY	CURR OPIN CELL BIOL	6.2
CURRENT OPINION IN CHEMICAL BIOLOGY	CURR OPIN CHEM BIOL	7.2
Current Opinion in Chemical Engineering	CURR OPIN CHEM ENG	8.6
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE	CURR OPIN CLIN NUTR	3.8
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	CURR OPIN COLLOID IN	7.6
Current Opinion in Critical Care	CURR OPIN CRIT CARE	3.8
Current Opinion in Electrochemistry	CURR OPIN ELECTROCHE	6.5
Current Opinion in Endocrine and Metabolic Research	CURR OPIN ENDOCR MET	2.1
Current Opinion in Endocrinology Diabetes and Obesity	CURR OPIN ENDOCRINOL	3.5
Current Opinion in Environmental Science & Health	CURR OPIN ENV SCI HL	6.6
Current Opinion in Environmental Sustainability	CURR OPIN ENV SUST	8.6
Current Opinion in Food Science	CURR OPIN FOOD SCI	8.2
CURRENT OPINION IN GASTROENTEROLOGY	CURR OPIN GASTROEN	2.8
CURRENT OPINION IN GENETICS & DEVELOPMENT	CURR OPIN GENET DEV	4.3
Current Opinion in Green and Sustainable Chemistry	CURR OPIN GREEN SUST	11
CURRENT OPINION IN HEMATOLOGY	CURR OPIN HEMATOL	2.9
Current Opinion in HIV and AIDS	CURR OPIN HIV AIDS	3.4
CURRENT OPINION IN IMMUNOLOGY	CURR OPIN IMMUNOL	5.6
CURRENT OPINION IN INFECTIOUS DISEASES	CURR OPIN INFECT DIS	4.5
Current Opinion in Insect Science	CURR OPIN INSECT SCI	5.5
CURRENT OPINION IN LIPIDOLOGY	CURR OPIN LIPIDOL	4.5
CURRENT OPINION IN MICROBIOLOGY	CURR OPIN MICROBIOL	8
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION	CURR OPIN NEPHROL HY	3.1
CURRENT OPINION IN NEUROBIOLOGY	CURR OPIN NEUROBIOL	5.6
CURRENT OPINION IN NEUROLOGY	CURR OPIN NEUROL	4.7
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY	CURR OPIN OBSTET GYN	2.4
CURRENT OPINION IN ONCOLOGY	CURR OPIN ONCOL	2.4
CURRENT OPINION IN OPHTHALMOLOGY	CURR OPIN OPHTHALMOL	3.1
Current Opinion in Organ Transplantation	CURR OPIN ORGAN TRAN	2.5
Current Opinion in Otolaryngology & Head and Neck Surgery	CURR OPIN OTOLARYNGO	1.4
CURRENT OPINION IN PEDIATRICS	CURR OPIN PEDIATR	2.8
CURRENT OPINION IN PHARMACOLOGY	CURR OPIN PHARMACOL	5.5
Current Opinion in Physiology	CURR OPIN PHYSIOL	2.3
CURRENT OPINION IN PLANT BIOLOGY	CURR OPIN PLANT BIOL	7.3
CURRENT OPINION IN PSYCHIATRY	CURR OPIN PSYCHIATR	5.9
Current Opinion in Psychology	CURR OPIN PSYCHOL	7.4
CURRENT OPINION IN PULMONARY MEDICINE	CURR OPIN PULM MED	2.7
CURRENT OPINION IN RHEUMATOLOGY	CURR OPIN RHEUMATOL	5.4
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	CURR OPIN SOLID ST M	14.1
CURRENT OPINION IN STRUCTURAL BIOLOGY	CURR OPIN STRUC BIOL	7.8
Current Opinion in Supportive and Palliative Care	CURR OPIN SUPPORT PA	2.3
Current Opinion in Systems Biology	CURR OPIN SYST BIOL	4
Current Opinion in Toxicology	CURR OPIN TOXICOL	2.4
CURRENT OPINION IN UROLOGY	CURR OPIN UROL	2.3
Current Opinion in Virology	CURR OPIN VIROL	5.5
Current Optics and Photonics	CURR OPT PHOTONICS	1
CURRENT ORGANIC CHEMISTRY	CURR ORG CHEM	2.5
CURRENT ORGANIC SYNTHESIS	CURR ORG SYNTH	2.6
Current Organocatalysis	CURR ORGANOCATALYSIS	1.1
Current Orthopaedic Practice	CURR ORTHOP PRACT	0.4
Current Osteoporosis Reports	CURR OSTEOPOROS REP	7.4
Current Otorhinolaryngology Reports	CURR OTORHINOL REP	1.4
Current Pain and Headache Reports	CURR PAIN HEADACHE R	4.8
Current Pediatric Reviews	CURR PEDIATR REV	2.4
Current Pediatrics Reports	CURR PEDIATR REP	1.8
Current Pharmaceutical Analysis	CURR PHARM ANAL	3.6
CURRENT PHARMACEUTICAL BIOTECHNOLOGY	CURR PHARM BIOTECHNO	2.9
CURRENT PHARMACEUTICAL DESIGN	CURR PHARM DESIGN	3.2
Current Pharmacology Reports	CURR PHARMACOL REP	1.8
Current Physical Medicine and Rehabilitation Reports	CURR PHYS MED REHAB	1.1
Current Plant Biology	CURR PLANT BIOL	5.1
Current Pollution Reports	CURR POLLUT REP	9.3
CURRENT PROBLEMS IN CANCER	CURR PROB CANCER	2.4
Current Problems in Cancer: Case Reports	CURR PROB CANCER-C R	0.5
CURRENT PROBLEMS IN CARDIOLOGY	CURR PROB CARDIOLOGY	3.7
Current Problems in Diagnostic Radiology	CURR PROBL DIAGN RAD	1.4
Current Problems in Pediatric and Adolescent Health Care	CURR PROB PEDIATR AD	2.5
CURRENT PROBLEMS IN SURGERY	CURR PROB SURG	3.1
CURRENT PROTEIN & PEPTIDE SCIENCE	CURR PROTEIN PEPT SC	2.4
Current Proteomics	CURR PROTEOMICS	1.3
Current Protocols	CURR PROTOC	2.5
Current Psychiatry Reports	CURR PSYCHIAT REP	7.5
Current Psychiatry Research and Reviews	CURR PSYCHIAT RES RE	0.6
CURRENT PSYCHOLOGY	CURR PSYCHOL	2.7
Current Pulmonology Reports	CURR PULMONOL REP	0.8
Current Radiology Reports	CURR RADIOL REP	1.2
Current Radiopharmaceuticals	CURR RADIOPHARM	2.6
Current Research in Behavioral Sciences	CURR RES BEHAV SCI	3.2
Current Research in Biotechnology	CURR RES BIOTECHNOL	6.7
Current Research in Ecological and Social Psychology	CURR RES ECOL SOC PS	3.3
Current Research in Environmental Sustainability	CURR RES ENVIRON SUS	4.8
Current Research in Food Science	CURR RES FOOD SCI	7.7
Current Research in Insect Science	CURR RES INSECT SCI	2.3
Current Research in Microbial Sciences	CURR RES MICROB SCI	5.6
Current Research in Neurobiology	CURR RES NEUROBIOL	2.9
Current Research in Nutrition and Food Science	CURR RES NUTR FOOD S	1.5
Current Research in Parasitology & Vector-Borne Diseases	CURR RES PARASITOL V	3
Current Research in Physiology	CURR RES PHYSIOL	2.5
Current Research in Social Psychology	CURR RES SOC PSYCHOL	0.1
Current Research in Structural Biology	CURR RES STRUCT BIOL	4.2
Current Research in Toxicology	CURR RES TOXICOL	4.7
Current Research in Translational Medicine	CURR RES TRANSL MED	3
Current Respiratory Medicine Reviews	CURR RESPIR MED REV	0.3
Current Reviews in Clinical and Experimental Pharmacology	CURR REV CLIN EXP PH	2.2
Current Reviews in Musculoskeletal Medicine	CURR REV MUSCULOSKE	5
Current Rheumatology Reports	CURR RHEUMATOL REP	4.9
Current Rheumatology Reviews	CURR RHEUMATOL REV	1.2
CURRENT SCIENCE	CURR SCI INDIA	0.9
Current Sexual Health Reports	CURR SEX HEALTH REP	3.1
Current Sleep Medicine Reports	CURR SLEEP MED REP	3.3
CURRENT SOCIOLOGY	CURR SOCIOL	2.1
Current Sports Medicine Reports	CURR SPORT MED REP	1.4
Current Stem Cell Reports	CURR STEM CELL REP	1.6
Current Stem Cell Research & Therapy	CURR STEM CELL RES T	2.1
Current Surgery Reports	CURR SURG REP	0.9
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL	CURR THER RES CLIN E	3
CURRENT TOPICS IN MEDICINAL CHEMISTRY	CURR TOP MED CHEM	3.6
Current Traditional Medicine	CURR TRADIT MED	0.8
Current Transplantation Reports	CURR TRANSPLANT REP	1.5
Current Trauma Reports	CURR TRAUMA REP	2.5
Current Treatment Options in Allergy	CURR TREAT OPTION AL	1.7
Current Treatment Options in Cardiovascular Medicine	CURR TREAT OPT CARD	1.1
Current Treatment Options in Neurology	CURR TREAT OPTION NE	1.3
CURRENT TREATMENT OPTIONS IN ONCOLOGY	CURR TREAT OPTION ON	5.8
